"2017.03.21","05:30","GBP","L","Core CPI y/y","2.0%","1.7%","1.6%","","65396"
"2017.04.11","04:30","GBP","H","CPI y/y","2.3%","2.2%","2.3%","","65413"
"2017.04.11","04:30","GBP","L","Core CPI y/y","1.8%","1.8%","2.0%","","65411"
"2017.05.16","04:30","GBP","H","CPI y/y","2.7%","2.6%","2.3%","","65430"
"2017.05.16","04:30","GBP","L","Core CPI y/y","2.4%","2.2%","1.8%","","65428"
"2017.06.13","04:30","GBP","H","CPI y/y","2.9%","2.7%","2.7%","","65447"
"2017.06.13","04:30","GBP","L","Core CPI y/y","2.6%","2.3%","2.4%","","65446"
"2017.07.18","04:30","GBP","H","CPI y/y","2.6%","2.9%","2.9%","","65469"
"2017.07.18","04:30","GBP","L","Core CPI y/y","2.4%","2.6%","2.6%","","65468"
"2017.08.15","04:30","GBP","H","CPI y/y","2.6%","2.7%","2.6%","","65486"
"2017.08.15","04:30","GBP","L","Core CPI y/y","2.4%","2.5%","2.4%","","65485"
